I,S
5.50E+01,1.63E+05
5.80E+01,1.64E+05
5.00E+01,1.64E+05
5.80E+01,1.64E+05
5.40E+01,1.65E+05
4.60E+01,1.65E+05
3.50E+01,1.65E+05
6.50E+01,1.66E+05
1.06E+02,1.66E+05
1.21E+02,1.66E+05
9.00E+01,1.66E+05
7.30E+01,1.66E+05
7.50E+01,1.66E+05
1.17E+02,1.66E+05
1.03E+02,1.67E+05
9.70E+01,1.67E+05
1.29E+02,1.68E+05
1.32E+02,1.68E+05
1.14E+02,1.69E+05
1.37E+02,1.70E+05
1.43E+02,1.70E+05
9.70E+01,1.71E+05
7.00E+01,1.72E+05
8.50E+01,1.73E+05
1.29E+02,1.73E+05
1.60E+02,1.74E+05
1.49E+02,1.75E+05
1.96E+02,1.75E+05
2.26E+02,1.76E+05
3.24E+02,1.77E+05
3.37E+02,1.77E+05
5.87E+02,1.78E+05
7.91E+02,1.78E+05
1.20E+03,1.78E+05
1.84E+03,1.77E+05
2.31E+03,1.77E+05
2.02E+03,1.75E+05
1.44E+03,1.74E+05
1.01E+03,1.72E+05
1.01E+03,1.70E+05
8.62E+02,1.68E+05
8.22E+02,1.67E+05
7.47E+02,1.65E+05
7.09E+02,1.64E+05
5.96E+02,1.63E+05
4.97E+02,1.62E+05
3.45E+02,1.62E+05
3.00E+02,1.62E+05
1.91E+02,1.62E+05
3.92E+02,1.62E+05
3.26E+02,1.63E+05
2.70E+02,1.63E+05
3.56E+02,1.63E+05
3.89E+02,1.64E+05
3.33E+02,1.64E+05
3.14E+02,1.64E+05
4.21E+02,1.65E+05
4.20E+02,1.65E+05
4.17E+02,1.65E+05
4.70E+02,1.66E+05
4.62E+02,1.66E+05
4.11E+02,1.66E+05
3.37E+02,1.66E+05
2.42E+02,1.66E+05
2.08E+02,1.66E+05
1.55E+02,1.66E+05
1.37E+02,1.67E+05
1.28E+02,1.67E+05
1.40E+02,1.68E+05
1.32E+02,1.68E+05
1.51E+02,1.69E+05
9.80E+01,1.70E+05
9.80E+01,1.70E+05
6.30E+01,1.71E+05
6.20E+01,1.72E+05
8.20E+01,1.73E+05
7.70E+01,1.73E+05
7.40E+01,1.74E+05
7.80E+01,1.75E+05
7.60E+01,1.75E+05
7.90E+01,1.76E+05
1.12E+02,1.77E+05
1.81E+02,1.77E+05
2.75E+02,1.78E+05
3.46E+02,1.78E+05
5.89E+02,1.78E+05
1.21E+03,1.77E+05
1.16E+03,1.77E+05
1.18E+03,1.75E+05
1.01E+03,1.74E+05
3.27E+02,1.72E+05
1.01E+02,1.70E+05
2.96E+01,1.69E+05
2.61E+01,1.70E+05
2.41E+01,1.71E+05
2.15E+01,1.72E+05
1.88E+01,1.73E+05
1.62E+01,1.74E+05
1.39E+01,1.75E+05
1.20E+01,1.77E+05
1.05E+01,1.78E+05
9.40E+00,1.80E+05
8.61E+00,1.82E+05
8.10E+00,1.83E+05
7.83E+00,1.85E+05
7.75E+00,1.87E+05
7.86E+00,1.88E+05
8.13E+00,1.90E+05
8.54E+00,1.92E+05
9.07E+00,1.93E+05
9.66E+00,1.95E+05
1.03E+01,1.96E+05
1.08E+01,1.98E+05
1.12E+01,1.99E+05
1.13E+01,2.01E+05
1.12E+01,2.02E+05
1.07E+01,2.04E+05
1.00E+01,2.05E+05
9.19E+00,2.07E+05
8.27E+00,2.09E+05
7.37E+00,2.10E+05
6.55E+00,2.12E+05
5.87E+00,2.14E+05
5.32E+00,2.16E+05
4.90E+00,2.18E+05
4.61E+00,2.19E+05
4.43E+00,2.21E+05
4.36E+00,2.23E+05
4.38E+00,2.25E+05
4.52E+00,2.27E+05
4.77E+00,2.29E+05
5.19E+00,2.31E+05
5.82E+00,2.32E+05
6.75E+00,2.34E+05
8.07E+00,2.36E+05
9.94E+00,2.37E+05
1.25E+01,2.39E+05
1.59E+01,2.40E+05
2.00E+01,2.41E+05
2.49E+01,2.42E+05
3.00E+01,2.42E+05
3.49E+01,2.42E+05
3.86E+01,2.42E+05
4.07E+01,2.42E+05
4.09E+01,2.42E+05
3.92E+01,2.42E+05
3.61E+01,2.42E+05
3.21E+01,2.42E+05
2.79E+01,2.43E+05
2.39E+01,2.43E+05
2.04E+01,2.44E+05
1.75E+01,2.45E+05
1.52E+01,2.47E+05
1.36E+01,2.48E+05
1.24E+01,2.49E+05
1.16E+01,2.51E+05
1.11E+01,2.52E+05
1.10E+01,2.54E+05
1.11E+01,2.55E+05
1.14E+01,2.57E+05
1.20E+01,2.58E+05
1.27E+01,2.59E+05
1.35E+01,2.61E+05
1.43E+01,2.62E+05
1.50E+01,2.63E+05
1.55E+01,2.65E+05
1.56E+01,2.66E+05
1.54E+01,2.67E+05
1.47E+01,2.68E+05
1.37E+01,2.70E+05
1.25E+01,2.71E+05
1.12E+01,2.72E+05
9.92E+00,2.74E+05
8.78E+00,2.76E+05
7.82E+00,2.77E+05
7.06E+00,2.79E+05
6.48E+00,2.81E+05
6.07E+00,2.82E+05
5.82E+00,2.84E+05
5.70E+00,2.86E+05
5.72E+00,2.88E+05
5.88E+00,2.89E+05
6.21E+00,2.91E+05
6.75E+00,2.93E+05
7.56E+00,2.94E+05
8.77E+00,2.96E+05
1.05E+01,2.98E+05
1.29E+01,2.99E+05
1.62E+01,3.00E+05
2.06E+01,3.01E+05
2.60E+01,3.02E+05
3.23E+01,3.02E+05
3.89E+01,3.02E+05
4.50E+01,3.02E+05
4.97E+01,3.01E+05
5.23E+01,3.00E+05
5.24E+01,2.99E+05
5.01E+01,2.98E+05
4.60E+01,2.98E+05
4.08E+01,2.98E+05
3.54E+01,2.98E+05
3.02E+01,2.98E+05
2.57E+01,2.99E+05
2.20E+01,2.99E+05
1.91E+01,3.00E+05
1.70E+01,3.02E+05
1.54E+01,3.03E+05
1.44E+01,3.04E+05
1.38E+01,3.05E+05
1.36E+01,3.07E+05
1.37E+01,3.08E+05
1.41E+01,3.09E+05
1.48E+01,3.11E+05
1.56E+01,3.12E+05
1.66E+01,3.13E+05
1.75E+01,3.14E+05
1.84E+01,3.15E+05
1.89E+01,3.16E+05
1.91E+01,3.17E+05
